MAPA,CVE_ENT,NOM_ENT,NOM_ABR,CVE_MUN,NOM_MUN,CVE_CAB,NOM_CAB,POB_TOTAL,POB_MASCULINA,POB_FEMENINA,TOTAL DE VIVIENDAS HABITADAS
21,21,Puebla,Pue.,026,Calpan,0001,San Andrés Calpan,15271,7337,7934,3605
21,21,Puebla,Pue.,027,Caltepec,0001,Caltepec,4128,1923,2205,1245
21,21,Puebla,Pue.,028,Camocuautla,0001,Camocuautla,2758,1367,1391,725
21,21,Puebla,Pue.,029,Caxhuacan,0001,Caxhuacan,3811,1816,1995,953
21,21,Puebla,Pue.,030,Coatepec,0001,Coatepec,772,372,400,224
21,21,Puebla,Pue.,031,Coatzingo,0001,Coatzingo,2820,1363,1457,788
21,21,Puebla,Pue.,032,Cohetzala,0001,Santa María Cohetzala,1382,719,663,418
21,21,Puebla,Pue.,033,Cohuecan,0001,Cohuecan,5403,2549,2854,1346
21,21,Puebla,Pue.,034,Coronango,0001,Santa María Coronango,46836,22984,23852,11231
21,21,Puebla,Pue.,035,Coxcatlán,0001,Coxcatlán,20653,9775,10878,5121
21,21,Puebla,Pue.,036,Coyomeapan,0001,Santa María Coyomeapan,14806,6943,7863,3501
21,21,Puebla,Pue.,037,Coyotepec,0001,San Vicente Coyotepec,2334,1099,1235,768
21,21,Puebla,Pue.,038,Cuapiaxtla de Madero,0001,Cuapiaxtla de Madero,10542,5196,5346,2365
21,21,Puebla,Pue.,039,Cuautempan,0001,San Esteban Cuautempan,9837,4659,5178,2860
21,21,Puebla,Pue.,040,Cuautinchán,0001,Cuautinchán,12340,6104,6236,2914
21,21,Puebla,Pue.,041,Cuautlancingo,0001,San Juan Cuautlancingo,137435,66950,70485,41184
21,21,Puebla,Pue.,042,Cuayuca de Andrade,0001,San Pedro Cuayuca,3315,1629,1686,951
21,21,Puebla,Pue.,043,Cuetzalan del Progreso,0001,Ciudad de Cuetzalan,49864,24149,25715,12640
21,21,Puebla,Pue.,044,Cuyoaco,0001,Cuyoaco,17139,8226,8913,4107
21,21,Puebla,Pue.,045,Chalchicomula de Sesma,0001,Ciudad Serdán,47410,22788,24622,11723
21,21,Puebla,Pue.,046,Chapulco,0001,Chapulco,8193,3937,4256,1916
21,21,Puebla,Pue.,047,Chiautla,0001,Ciudad de Chiautla de Tapia,21699,10672,11027,5847
21,21,Puebla,Pue.,048,Chiautzingo,0001,San Lorenzo Chiautzingo,22039,10496,11543,5004
21,21,Puebla,Pue.,049,Chiconcuautla,0001,Chiconcuautla,17382,8464,8918,4082
21,21,Puebla,Pue.,050,Chichiquila,0001,Chichiquila,26928,13303,13625,5311
21,21,Puebla,Pue.,051,Chietla,0001,Chietla,37030,17989,19041,10256
21,21,Puebla,Pue.,052,Chigmecatitlán,0001,Chigmecatitlán,1215,536,679,385
21,21,Puebla,Pue.,053,Chignahuapan,0001,Ciudad de Chignahuapan,66464,32162,34302,17157
21,21,Puebla,Pue.,054,Chignautla,0001,Chignautla,35223,16932,18291,7850
21,21,Puebla,Pue.,055,Chila,0001,Chila,5082,2418,2664,1428
21,21,Puebla,Pue.,056,Chila de la Sal,0001,Chila de la Sal,1317,635,682,426
21,21,Puebla,Pue.,057,Honey,0001,Honey,6687,3205,3482,1683
21,21,Puebla,Pue.,058,Chilchotla,0001,Rafael J. García,21002,10407,10595,4342
21,21,Puebla,Pue.,059,Chinantla,0001,Chinantla,2846,1382,1464,801
21,21,Puebla,Pue.,060,Domingo Arenas,0001,Domingo Arenas,7982,3832,4150,1857
21,21,Puebla,Pue.,061,Eloxochitlán,0001,Eloxochitlán,14461,7070,7391,3370
21,21,Puebla,Pue.,062,Epatlán,0001,San Juan Epatlán,4943,2421,2522,1330
21,21,Puebla,Pue.,063,Esperanza,0001,Esperanza,14766,7091,7675,3698
21,21,Puebla,Pue.,064,Francisco Z. Mena,0001,Metlaltoyuca,17824,8867,8957,5097
21,21,Puebla,Pue.,065,General Felipe Ángeles,0001,San Pablo de las Tunas,22694,10982,11712,5304
21,21,Puebla,Pue.,066,Guadalupe,0001,Guadalupe,6451,3013,3438,1857
21,21,Puebla,Pue.,067,Guadalupe Victoria,0001,Guadalupe Victoria,18784,9209,9575,4682
21,21,Puebla,Pue.,068,Hermenegildo Galeana,0001,Bienvenido,7011,3378,3633,1996
21,21,Puebla,Pue.,069,Huaquechula,0001,Huaquechula,29233,13800,15433,7249
21,21,Puebla,Pue.,070,Huatlatlauca,0001,Huatlatlauca,6111,2784,3327,1773
21,21,Puebla,Pue.,071,Huauchinango,0001,Huauchinango,103946,48818,55128,27579
21,21,Puebla,Pue.,072,Huehuetla,0001,Huehuetla,17082,8373,8709,3923
21,21,Puebla,Pue.,073,Huehuetlán el Chico,0001,Huehuetlán el Chico,9760,4792,4968,2564
21,21,Puebla,Pue.,074,Huejotzingo,0001,Huejotzingo,90794,44075,46719,22603
21,21,Puebla,Pue.,075,Hueyapan,0001,Hueyapan,13080,6259,6821,3288
21,21,Puebla,Pue.,076,Hueytamalco,0001,Hueytamalco,27600,13597,14003,7568
21,21,Puebla,Pue.,077,Hueytlalpan,0001,Hueytlalpan,5951,2924,3027,1439
21,21,Puebla,Pue.,078,Huitzilan de Serdán,0001,Huitzilan,15928,8092,7836,3925
21,21,Puebla,Pue.,079,Huitziltepec,0001,Santa Clara Huitziltepec,5782,2797,2985,1574
21,21,Puebla,Pue.,080,Atlequizayan,0001,Atlequizayan,2633,1228,1405,678
21,21,Puebla,Pue.,081,Ixcamilpa de Guerrero,0001,Ixcamilpa,4065,1948,2117,1101
21,21,Puebla,Pue.,082,Ixcaquixtla,0001,San Juan Ixcaquixtla,8804,4193,4611,2426
21,21,Puebla,Pue.,083,Ixtacamaxtitlán,0001,Ixtacamaxtitlán,25319,12488,12831,6427
21,21,Puebla,Pue.,084,Ixtepec,0001,Ixtepec,6950,3370,3580,1735
21,21,Puebla,Pue.,085,Izúcar de Matamoros,0001,Izúcar de Matamoros,82809,39551,43258,21681
21,21,Puebla,Pue.,086,Jalpan,0001,Jalpan,12050,5717,6333,3323
21,21,Puebla,Pue.,087,Jolalpan,0001,Jolalpan,13308,6418,6890,3395
21,21,Puebla,Pue.,088,Jonotla,0001,Jonotla,4457,2172,2285,1292
21,21,Puebla,Pue.,089,Jopala,0001,Jopala,12131,5817,6314,3188
21,21,Puebla,Pue.,090,Juan C. Bonilla,0001,Cuanalá,23783,11475,12308,5857
21,21,Puebla,Pue.,091,Juan Galindo,0001,Nuevo Necaxa,9828,4559,5269,2803
21,21,Puebla,Pue.,092,Juan N. Méndez,0001,Atenayuca,5293,2555,2738,1477
21,21,Puebla,Pue.,093,Lafragua,0001,Saltillo,7650,3709,3941,1945
21,21,Puebla,Pue.,094,Libres,0001,Ciudad de Libres,37257,18097,19160,8982
21,21,Puebla,Pue.,095,La Magdalena Tlatlauquitepec,0001,La Magdalena Tlatlauquitepec,650,324,326,169
21,21,Puebla,Pue.,096,Mazapiltepec de Juárez,0001,Mazapiltepec de Juárez,3176,1557,1619,771
21,21,Puebla,Pue.,097,Mixtla,0001,San Francisco Mixtla,2668,1270,1398,621
21,21,Puebla,Pue.,098,Molcaxac,0001,Molcaxac,6668,3173,3495,1833
21,21,Puebla,Pue.,099,Cañada Morelos,0001,Morelos Cañada,20659,9911,10748,5289
21,21,Puebla,Pue.,100,Naupan,0001,Naupan,9310,4320,4990,2366
21,21,Puebla,Pue.,101,Nauzontla,0001,Nauzontla,3317,1543,1774,986
21,21,Puebla,Pue.,102,Nealtican,0001,San Buenaventura Nealtican,14075,6815,7260,3141
21,21,Puebla,Pue.,103,Nicolás Bravo,0001,Nicolás Bravo,6644,3230,3414,1578
21,21,Puebla,Pue.,104,Nopalucan,0001,Nopalucan de la Granja,32772,15891,16881,7230
21,21,Puebla,Pue.,105,Ocotepec,0001,Ocotepec,5077,2433,2644,1354
21,21,Puebla,Pue.,106,Ocoyucan,0001,Santa Clara Ocoyucan,42669,20420,22249,10747
21,21,Puebla,Pue.,107,Olintla,0001,Olintla,11993,5835,6158,2780
21,21,Puebla,Pue.,108,Oriental,0001,Oriental,19903,9678,10225,4719
21,21,Puebla,Pue.,109,Pahuatlán,0001,Ciudad de Pahuatlán de Valle,20274,9674,10600,5352
21,21,Puebla,Pue.,110,Palmar de Bravo,0001,Palmar de Bravo,50226,24595,25631,12072
21,21,Puebla,Pue.,111,Pantepec,0001,Pantepec,18528,8904,9624,5229
21,21,Puebla,Pue.,112,Petlalcingo,0001,Petlalcingo,9350,4489,4861,2586
21,21,Puebla,Pue.,113,Piaxtla,0001,Piaxtla,4627,2262,2365,1414
21,21,Puebla,Pue.,114,Puebla,0001,Heroica Puebla de Zaragoza,1692181,809485,882696,477771
21,21,Puebla,Pue.,115,Quecholac,0001,Quecholac,57992,28367,29625,13493
21,21,Puebla,Pue.,116,Quimixtlán,0001,Quimixtlán,22855,11102,11753,4788
21,21,Puebla,Pue.,117,Rafael Lara Grajales,0001,Ciudad de Rafael Lara Grajales,15952,7625,8327,3711
21,21,Puebla,Pue.,118,Los Reyes de Juárez,0001,Los Reyes de Juárez,30021,14606,15415,6511
21,21,Puebla,Pue.,119,San Andrés Cholula,0001,San Andrés Cholula,154448,74272,80176,44827
21,21,Puebla,Pue.,120,San Antonio Cañada,0001,San Antonio Cañada,5938,2791,3147,1381
21,21,Puebla,Pue.,121,San Diego la Mesa Tochimiltzingo,0001,Tochimiltzingo,1270,626,644,364
21,21,Puebla,Pue.,122,San Felipe Teotlalcingo,0001,San Felipe Teotlalcingo,11063,5349,5714,2634
21,21,Puebla,Pue.,123,San Felipe Tepatlán,0001,San Felipe Tepatlán,3793,1829,1964,1073
21,21,Puebla,Pue.,124,San Gabriel Chilac,0001,San Gabriel Chilac,15954,7569,8385,3897
21,21,Puebla,Pue.,125,San Gregorio Atzompa,0001,San Gregorio Atzompa,9671,4682,4989,2488
21,21,Puebla,Pue.,126,San Jerónimo Tecuanipan,0001,San Jerónimo Tecuanipan,6597,3118,3479,1460
21,21,Puebla,Pue.,127,San Jerónimo Xayacatlán,0001,San Jerónimo Xayacatlán,3606,1734,1872,1158
21,21,Puebla,Pue.,128,San José Chiapa,0001,San José Chiapa,10443,5107,5336,2503
21,21,Puebla,Pue.,129,San José Miahuatlán,0001,San José Miahuatlán,14018,6720,7298,3531
21,21,Puebla,Pue.,130,San Juan Atenco,0001,San Juan Atenco,3604,1660,1944,964
21,21,Puebla,Pue.,131,San Juan Atzompa,0001,San Juan Atzompa,975,508,467,273
21,21,Puebla,Pue.,132,San Martín Texmelucan,0001,San Martín Texmelucan de Labastida,155738,74922,80816,38321
21,21,Puebla,Pue.,133,San Martín Totoltepec,0001,San Martín Totoltepec,692,358,334,194
21,21,Puebla,Pue.,134,San Matías Tlalancaleca,0001,San Matías Tlalancaleca,20974,10218,10756,5150
21,21,Puebla,Pue.,135,San Miguel Ixitlán,0001,San Miguel Ixitlán,526,254,272,180
21,21,Puebla,Pue.,136,San Miguel Xoxtla,0001,San Miguel Xoxtla,12461,6089,6372,2844
21,21,Puebla,Pue.,137,San Nicolás Buenos Aires,0001,San Nicolás Buenos Aires,10464,5120,5344,2464
21,21,Puebla,Pue.,138,San Nicolás de los Ranchos,0001,San Nicolás de los Ranchos,11780,5737,6043,2633
21,21,Puebla,Pue.,139,San Pablo Anicano,0001,San Pablo Anicano,3759,1791,1968,1024
21,21,Puebla,Pue.,140,San Pedro Cholula,0001,Cholula de Rivadavia,138433,66454,71979,36581
21,21,Puebla,Pue.,141,San Pedro Yeloixtlahuaca,0001,San Pedro Yeloixtlahuaca,3488,1685,1803,1044
21,21,Puebla,Pue.,142,San Salvador el Seco,0001,San Salvador el Seco,30639,14990,15649,7439
21,21,Puebla,Pue.,143,San Salvador el Verde,0001,San Salvador el Verde,34880,16955,17925,8450
21,21,Puebla,Pue.,144,San Salvador Huixcolotla,0001,San Salvador Huixcolotla,16790,8176,8614,3600
21,21,Puebla,Pue.,145,San Sebastián Tlacotepec,0001,Tlacotepec de Porfirio Díaz,13189,6486,6703,3283
21,21,Puebla,Pue.,146,Santa Catarina Tlaltempan,0001,Santa Catarina Tlaltempan,749,372,377,256
21,21,Puebla,Pue.,147,Santa Inés Ahuatempan,0001,Santa Inés Ahuatempan,6341,3038,3303,1818
21,21,Puebla,Pue.,148,Santa Isabel Cholula,0001,Santa Isabel Cholula,11498,5613,5885,2603
21,21,Puebla,Pue.,149,Santiago Miahuatlán,0001,Santiago Miahuatlán,30309,14673,15636,7414
21,21,Puebla,Pue.,150,Huehuetlán el Grande,0001,Santo Domingo Huehuetlán,6105,2946,3159,1712
21,21,Puebla,Pue.,151,Santo Tomás Hueyotlipan,0001,Santo Tomás Hueyotlipan,9315,4524,4791,2255
21,21,Puebla,Pue.,152,Soltepec,0001,Soltepec,12631,6103,6528,2954
21,21,Puebla,Pue.,153,Tecali de Herrera,0001,Tecali de Herrera,23625,11494,12131,6008
21,21,Puebla,Pue.,154,Tecamachalco,0001,Tecamachalco,80771,38781,41990,20018
21,21,Puebla,Pue.,155,Tecomatlán,0001,Tecomatlán,6830,3416,3414,1878
21,21,Puebla,Pue.,156,Tehuacán,0001,Tehuacán,327312,154407,172905,85383
21,21,Puebla,Pue.,157,Tehuitzingo,0001,Tehuitzingo,12672,6093,6579,3410
21,21,Puebla,Pue.,158,Tenampulco,0001,Tenampulco,6743,3304,3439,2075
21,21,Puebla,Pue.,159,Teopantlán,0001,Teopantlán,3836,1712,2124,1161
21,21,Puebla,Pue.,160,Teotlalco,0001,Teotlalco,3689,1840,1849,1012
21,21,Puebla,Pue.,161,Tepanco de López,0001,Tepanco de López,22218,10401,11817,5582
21,21,Puebla,Pue.,162,Tepango de Rodríguez,0001,Tepango de Rodríguez,4155,1919,2236,1046
21,21,Puebla,Pue.,163,Tepatlaxco de Hidalgo,0001,Tepatlaxco de Hidalgo,18854,9120,9734,4096
21,21,Puebla,Pue.,164,Tepeaca,0001,Tepeaca,84270,40509,43761,18578
21,21,Puebla,Pue.,165,Tepemaxalco,0001,San Felipe Tepemaxalco,1216,614,602,264
21,21,Puebla,Pue.,166,Tepeojuma,0001,Tepeojuma,8918,4139,4779,2259
21,21,Puebla,Pue.,167,Tepetzintla,0001,Tepetzintla,10373,4915,5458,2567
21,21,Puebla,Pue.,168,Tepexco,0001,Tepexco,7523,3704,3819,1788
21,21,Puebla,Pue.,169,Tepexi de Rodríguez,0001,Tepexi de Rodríguez,22331,11194,11137,6092
21,21,Puebla,Pue.,170,Tepeyahualco,0001,Tepeyahualco,19200,9366,9834,4717
21,21,Puebla,Pue.,171,Tepeyahualco de Cuauhtémoc,0001,Tepeyahualco de Cuauhtémoc,3851,1816,2035,1021
21,21,Puebla,Pue.,172,Tetela de Ocampo,0001,Ciudad de Tetela de Ocampo,27216,13100,14116,7723
21,21,Puebla,Pue.,173,Teteles de Ávila Castillo,0001,Teteles de Ávila Castillo,6653,2887,3766,1756
21,21,Puebla,Pue.,174,Teziutlán,0001,Teziutlán,103583,48649,54934,28295
21,21,Puebla,Pue.,175,Tianguismanalco,0001,Tianguismanalco,14432,6990,7442,3593
21,21,Puebla,Pue.,176,Tilapa,0001,Tilapa,9664,4635,5029,2608
21,21,Puebla,Pue.,177,Tlacotepec de Benito Juárez,0001,Tlacotepec de Benito Juárez,54757,25754,29003,13123
21,21,Puebla,Pue.,178,Tlacuilotepec,0001,Tlacuilotepec,15977,7876,8101,4447
21,21,Puebla,Pue.,179,Tlachichuca,0001,Tlachichuca,31639,15498,16141,7237
21,21,Puebla,Pue.,180,Tlahuapan,0001,Santa Rita Tlahuapan,41547,20461,21086,9941
21,21,Puebla,Pue.,181,Tlaltenango,0001,Tlaltenango,7425,3634,3791,1744
21,21,Puebla,Pue.,182,Tlanepantla,0001,Tlanepantla,5390,2582,2808,1122
21,21,Puebla,Pue.,183,Tlaola,0001,Tlaola,20433,9850,10583,5008
21,21,Puebla,Pue.,184,Tlapacoya,0001,Tlapacoya,6422,3075,3347,1704
21,21,Puebla,Pue.,185,Tlapanalá,0001,Tlapanalá,10344,5050,5294,2545
21,21,Puebla,Pue.,186,Tlatlauquitepec,0001,Ciudad de Tlatlauquitepec,55576,26617,28959,14396
21,21,Puebla,Pue.,187,Tlaxco,0001,Tlaxco,4934,2428,2506,1429
21,21,Puebla,Pue.,188,Tochimilco,0001,Tochimilco,19315,9196,10119,4773
21,21,Puebla,Pue.,189,Tochtepec,0001,Tochtepec,22454,10828,11626,5309
21,21,Puebla,Pue.,190,Totoltepec de Guerrero,0001,Totoltepec de Guerrero,1187,553,634,422
21,21,Puebla,Pue.,191,Tulcingo,0001,Tulcingo de Valle,9871,4641,5230,2792
21,21,Puebla,Pue.,192,Tuzamapan de Galeana,0001,Tuzamapan de Galeana,5924,2909,3015,1650
21,21,Puebla,Pue.,193,Tzicatlacoyan,0001,Tzicatlacoyan,6476,3190,3286,1750
21,21,Puebla,Pue.,194,Venustiano Carranza,0001,Venustiano Carranza,28395,13413,14982,7864
21,21,Puebla,Pue.,195,Vicente Guerrero,0001,Santa María del Monte,26559,12434,14125,5974
21,21,Puebla,Pue.,196,Xayacatlán de Bravo,0001,Xayacatlán de Bravo,1570,726,844,483
21,21,Puebla,Pue.,197,Xicotepec,0001,Xicotepec de Juárez,80591,38448,42143,21274
21,21,Puebla,Pue.,198,Xicotlán,0001,Xicotlán,1312,628,684,348
21,21,Puebla,Pue.,199,Xiutetelco,0001,San Juan Xiutetelco,42943,20679,22264,9899
21,21,Puebla,Pue.,200,Xochiapulco,0001,Cinco de Mayo,3443,1625,1818,1018
21,21,Puebla,Pue.,201,Xochiltepec,0001,Xochiltepec,3375,1568,1807,872
21,21,Puebla,Pue.,202,Xochitlán de Vicente Suárez,0001,Xochitlán de Vicente Suárez,13025,6262,6763,3399
21,21,Puebla,Pue.,203,Xochitlán Todos Santos,0001,Xochitlán,7178,3407,3771,1880
21,21,Puebla,Pue.,204,Yaonáhuac,0001,Yaonáhuac,7926,3683,4243,1997
21,21,Puebla,Pue.,205,Yehualtepec,0001,Yehualtepec,26392,12709,13683,6528
21,21,Puebla,Pue.,206,Zacapala,0001,Zacapala,4647,2205,2442,1303
21,21,Puebla,Pue.,207,Zacapoaxtla,0001,Zacapoaxtla,57887,27151,30736,14790
21,21,Puebla,Pue.,208,Zacatlán,0001,Zacatlán,87361,41505,45856,22891
21,21,Puebla,Pue.,209,Zapotitlán,0001,Zapotitlán Salinas,8595,3985,4610,2296
21,21,Puebla,Pue.,210,Zapotitlán de Méndez,0001,Zapotitlán de Méndez,5675,2793,2882,1456
21,21,Puebla,Pue.,211,Zaragoza,0001,Zaragoza,16752,7754,8998,4418
21,21,Puebla,Pue.,212,Zautla,0001,Santiago Zautla,20717,9828,10889,5151
21,21,Puebla,Pue.,213,Zihuateutla,0001,Zihuateutla,11967,5774,6193,3176
21,21,Puebla,Pue.,214,Zinacatepec,0001,San Sebastián Zinacatepec,18359,8781,9578,4409
21,21,Puebla,Pue.,215,Zongozotla,0001,Zongozotla,4539,2217,2322,1160
21,21,Puebla,Pue.,216,Zoquiapan,0001,Zoquiapan,2452,1138,1314,741
21,21,Puebla,Pue.,217,Zoquitlán,0001,Zoquitlán,20335,9705,10630,4724
